rater_id,trait,count,mean
rater_1,Cohesion,857,2.8506417736289382
rater_1,Syntax,857,2.928821470245041
rater_1,Vocabulary,857,3.1481913652275377
rater_1,Phraseology,857,3.115519253208868
rater_1,Grammar,857,3.131855309218203
rater_1,Conventions,857,2.9778296382730454
rater_10,Cohesion,781,3.1203585147247117
rater_10,Syntax,781,2.906530089628681
rater_10,Vocabulary,781,3.128040973111396
rater_10,Phraseology,781,3.1907810499359797
rater_10,Grammar,781,3.0102432778489114
rater_10,Conventions,781,3.087067861715749
rater_11,Cohesion,1367,2.646671543525969
rater_11,Syntax,1367,2.8997805413313826
rater_11,Vocabulary,1367,3.0190197512801755
rater_11,Phraseology,1367,2.9429407461594734
rater_11,Grammar,1367,2.62033650329188
rater_11,Conventions,1367,2.8024871982443305
rater_12,Cohesion,1220,3.2975409836065572
rater_12,Syntax,1220,3.0434426229508196
rater_12,Vocabulary,1220,3.3549180327868853
rater_12,Phraseology,1220,3.4311475409836065
rater_12,Grammar,1220,2.971311475409836
rater_12,Conventions,1220,3.2762295081967214
rater_13,Cohesion,889,3.28458942632171
rater_13,Syntax,889,3.322834645669291
rater_13,Vocabulary,889,3.435320584926884
rater_13,Phraseology,889,3.3914510686164228
rater_13,Grammar,889,3.1304836895388077
rater_13,Conventions,889,3.2114735658042743
rater_14,Cohesion,31,2.935483870967742
rater_14,Syntax,31,2.838709677419355
rater_14,Vocabulary,31,2.967741935483871
rater_14,Phraseology,31,3.032258064516129
rater_14,Grammar,31,2.6451612903225805
rater_14,Conventions,31,2.774193548387097
rater_15,Cohesion,988,3.5445344129554655
rater_15,Syntax,988,3.374493927125506
rater_15,Vocabulary,988,3.1842105263157894
rater_15,Phraseology,988,3.3906882591093117
rater_15,Grammar,988,3.0121457489878543
rater_15,Conventions,988,3.222672064777328
rater_16,Cohesion,447,3.3914988814317675
rater_16,Syntax,447,3.140939597315436
rater_16,Vocabulary,447,3.3221476510067114
rater_16,Phraseology,447,3.1722595078299776
rater_16,Grammar,447,3.0156599552572705
rater_16,Conventions,447,3.221476510067114
rater_17,Cohesion,119,3.1848739495798317
rater_17,Syntax,119,3.2184873949579833
rater_17,Vocabulary,119,3.4201680672268906
rater_17,Phraseology,119,3.436974789915966
rater_17,Grammar,119,3.2941176470588234
rater_17,Conventions,119,3.73109243697479
rater_18,Cohesion,1060,3.1358490566037736
rater_18,Syntax,1060,3.0679245283018868
rater_18,Vocabulary,1060,3.297169811320755
rater_18,Phraseology,1060,3.042452830188679
rater_18,Grammar,1060,3.1971698113207547
rater_18,Conventions,1060,3.2386792452830186
rater_19,Cohesion,1041,3.5110470701248797
rater_19,Syntax,1041,3.5283381364073008
rater_19,Vocabulary,1041,3.33909702209414
