rater_id,score_variable,count,mean,median,std,min,max
rater_1,Cohesion,857,2.8506417736289382,3.0,0.9009873523755901,1,5
rater_1,Conventions,857,2.9778296382730454,3.0,0.7287317455170214,1,5
rater_1,Grammar,857,3.131855309218203,3.0,0.7824747689777922,1,5
rater_1,Overall,857,3.017502917152859,3.0,0.682506252960561,1,5
rater_1,Phraseology,857,3.115519253208868,3.0,0.7593372001724904,1,5
rater_1,Syntax,857,2.928821470245041,3.0,0.7947389138709223,1,5
rater_1,Vocabulary,857,3.1481913652275377,3.0,0.6681853097729563,1,5
rater_10,Cohesion,781,3.1203585147247117,3.0,0.7979832750126048,2,5
rater_10,Conventions,781,3.087067861715749,3.0,0.8683017505477391,2,5
rater_10,Grammar,781,3.0102432778489114,3.0,0.9198091035067317,1,5
rater_10,Overall,781,3.0025608194622277,3.0,0.797427657968851,2,5
rater_10,Phraseology,781,3.1907810499359797,3.0,0.7849331374101474,2,5
rater_10,Syntax,781,2.906530089628681,3.0,0.8087476045562699,1,5
rater_10,Vocabulary,781,3.128040973111396,3.0,0.7656034176979924,2,5
rater_11,Cohesion,1367,2.646671543525969,3.0,0.6931701716843534,1,5
rater_11,Conventions,1367,2.8024871982443305,3.0,0.7263456454916773,1,5
rater_11,Grammar,1367,2.62033650329188,3.0,0.6527084270807297,1,5
rater_11,Overall,1367,2.9195318215069497,3.0,0.7346020627554164,1,5
rater_11,Phraseology,1367,2.9429407461594734,3.0,0.709457847881929,1,5
rater_11,Syntax,1367,2.8997805413313826,3.0,0.713430012164133,1,5
rater_11,Vocabulary,1367,3.0190197512801755,3.0,0.6863581221134878,1,5
rater_12,Cohesion,1220,3.2975409836065572,3.0,0.7274037253239156,1,5
rater_12,Conventions,1220,3.2762295081967214,3.0,0.797818321183361,1,5
rater_12,Grammar,1220,2.971311475409836,3.0,0.7791351622258421,1,5
rater_12,Overall,1220,3.1385245901639345,3.0,0.7083177127303766,1,5
rater_12,Phraseology,1220,3.4311475409836065,3.0,0.6016223577932733,1,5
rater_12,Syntax,1220,3.0434426229508196,3.0,0.7472660264876099,1,5
rater_12,Vocabulary,1220,3.3549180327868853,3.0,0.5879013242244305,1,5
rater_13,Cohesion,889,3.28458942632171,3.0,0.7877145604607961,1,5
rater_13,Conventions,889,3.2114735658042743,3.0,0.7609878075735981,1,5
rater_13,Grammar,889,3.1304836895388077,3.0,0.8481988680934565,1,5
rater_13,Overall,889,3.2868391451068617,3.0,0.784029797246533,1,5
rater_13,Phraseology,889,3.3914510686164228,3.0,0.8408054831512266,1,5
rater_13,Syntax,889,3.322834645669291,3.0,0.8438612834140293,1,5
rater_13,Vocabulary,889,3.435320584926884,3.0,0.7626788179284741,2,5
rater_14,Cohesion,31,2.935483870967742,3.0,0.6290460434111187,2,4
rater_14,Conventions,31,2.774193548387097,3.0,0.6688137468361345,2,4
rater_14,Grammar,31,2.6451612903225805,3.0,0.6607262215055085,2,4
rater_14,Overall,31,2.806451612903226,3.0,0.6010743070375286,2,4
