rater_id,predictor,count,pearson_correlation,spearman_correlation
rater_1,Cohesion,857,0.6406789683225942,0.6257058363180049
rater_1,Syntax,857,0.691499243483063,0.6731275679780384
rater_1,Vocabulary,857,0.637284168523862,0.6246738997538283
rater_1,Phraseology,857,0.719679683521024,0.7094769840715749
rater_1,Grammar,857,0.6759878599523332,0.664214898073729
rater_1,Conventions,857,0.6537563476462136,0.6446147257718855
rater_1,trait_mean,857,0.836892895820893,0.8194950223784109
rater_10,Cohesion,781,0.7087056269435199,0.706503664065729
rater_10,Syntax,781,0.8114470774622113,0.8096423731158934
rater_10,Vocabulary,781,0.7071474828807449,0.6878896510259099
rater_10,Phraseology,781,0.7488753359794087,0.7384195817438182
rater_10,Grammar,781,0.7270902847504104,0.7180016750358236
rater_10,Conventions,781,0.6218098068050434,0.6104150003776122
rater_10,trait_mean,781,0.9059394644734392,0.9029851532611277
rater_11,Cohesion,1367,0.6816450282712472,0.6558205145004392
rater_11,Syntax,1367,0.6020030985583629,0.5799059092610702
rater_11,Vocabulary,1367,0.6128492774560721,0.5954654675027735
rater_11,Phraseology,1367,0.628898317327848,0.6124324361830146
rater_11,Grammar,1367,0.6461920049461037,0.6249593502647788
rater_11,Conventions,1367,0.7508588640473383,0.7410823227562502
rater_11,trait_mean,1367,0.7885147295505006,0.7702436978140084
rater_12,Cohesion,1220,0.7303586148021459,0.7044465341536909
rater_12,Syntax,1220,0.7434038817682329,0.7319454812245868
rater_12,Vocabulary,1220,0.650133438132404,0.6370817993089818
rater_12,Phraseology,1220,0.6605574455095102,0.647467007695371
rater_12,Grammar,1220,0.6909819319560112,0.6814795098216
rater_12,Conventions,1220,0.6275765604176189,0.6149783937175896
rater_12,trait_mean,1220,0.855150915072451,0.8499127359552174
rater_13,Cohesion,889,0.7611476912815034,0.7454708622218827
rater_13,Syntax,889,0.8011365266663029,0.7849591962340046
rater_13,Vocabulary,889,0.8079104780060427,0.7956157664328626
rater_13,Phraseology,889,0.8031988193505135,0.7926164533411533
rater_13,Grammar,889,0.7954300361322055,0.7817027707502585
rater_13,Conventions,889,0.7192607476398326,0.7030999716123738
rater_13,trait_mean,889,0.9084615582884326,0.8944197487039859
rater_14,Cohesion,31,0.759307541478803,0.7500156092281773
rater_14,Syntax,31,0.8593000782454138,0.8396484871574929
rater_14,Vocabulary,31,0.7699188535494523,0.7715304723183598
rater_14,Phraseology,31,0.6282162876018276,0.607556336859419
rater_14,Grammar,31,0.7445605785149946,0.6914845522662515
rater_14,Conventions,31,0.5509991341078004,0.5569981870579735
rater_14,trait_mean,31,0.87560529016231,0.8149019702867887
rater_15,Cohesion,988,0.6299438132027927,0.6107357952225383
rater_15,Syntax,988,0.6447971530488533,0.633320615678892
rater_15,Vocabulary,988,0.6210726312683714,0.619713149510922
rater_15,Phraseology,988,0.7207286369721649,0.7302924890689132
rater_15,Grammar,988,0.5822322538442756,0.5825020767698481
rater_15,Conventions,988,0.47037906043571703,0.44977865244338416
rater_15,trait_mean,988,0.8486164873736955,0.845091502466014
rater_16,Cohesion,447,0.7684881556772197,0.7516774750214512
rater_16,Syntax,447,0.8085884684007989,0.8068050792607514
rater_16,Vocabulary,447,0.7645339707068857,0.7496477885817414
rater_16,Phraseology,447,0.7342303955792165,0.7192921788387543
rater_16,Grammar,447,0.6619293794689386,0.6528045551185893
rater_16,Conventions,447,0.6557952831331251,0.6417723953177451
rater_16,trait_mean,447,0.8925213206412217,0.9041452244426247
rater_17,Cohesion,119,0.8629951436532869,0.8408232062035029
rater_17,Syntax,119,0.8411827103369126,0.820410773937422
rater_17,Vocabulary,119,0.840509270226652,0.8108718345148779
rater_17,Phraseology,119,0.8558978723681213,0.851416539139685
rater_17,Grammar,119,0.8013161902238805,0.7947914161610569
rater_17,Conventions,119,0.735000942104359,0.7056771190408841
rater_17,trait_mean,119,0.9378849820656272,0.931314235136808
rater_18,Cohesion,1060,0.8811593172133125,0.8727362718626624
rater_18,Syntax,1060,0.8600326064274614,0.8504906819046255
rater_18,Vocabulary,1060,0.8563056042840296,0.8507642649414836
rater_18,Phraseology,1060,0.8627276010956235,0.8507504231914361
rater_18,Grammar,1060,0.8026044098164317,0.7898222177380462
rater_18,Conventions,1060,0.7621422930373729,0.7558409415185485
rater_18,trait_mean,1060,0.9342160084130229,0.9309005822579888
rater_19,Cohesion,1041,0.620307565871544,0.5769955565342816
