rater_id,count,mean,median,std,min,max
rater_1,857,-0.007973551147413358,0.0,0.37653452500511103,-1.0,1.3333333333333335
rater_10,781,-0.07127614169867681,0.0,0.3443253143192478,-1.333333333333333,0.666666666666667
rater_11,1367,0.09765910753474774,0.16666666666666652,0.45179293078779575,-1.5,1.166666666666667
rater_12,1220,-0.09057377049180318,0.0,0.3692903848177362,-1.0,1.5
rater_13,889,-0.009186351706036655,0.0,0.32814559257077397,-0.8333333333333335,0.666666666666667
rater_14,31,-0.05913978494623645,0.0,0.29042876061786005,-0.833333333333333,0.5
rater_15,988,0.03171390013495286,0.0,0.3017000649798063,-0.6666666666666665,0.8333333333333335
rater_16,447,-0.027218493661446574,0.0,0.3367794861004964,-0.6666666666666665,1.5
rater_17,119,-0.03641456582633046,0.0,0.3100328515683062,-0.6666666666666665,0.5
rater_18,1060,0.0301886792452831,0.0,0.3091317594390435,-0.6666666666666665,0.666666666666667
rater_19,1041,0.024495677233429467,0.0,0.32907995321243083,-0.666666666666667,1.0
rater_2,1602,0.004681647940075039,-0.16666666666666652,0.3872162546190612,-1.5,0.8333333333333335
rater_20,75,0.020000000000000108,0.0,0.29884663175165505,-0.5,0.8333333333333335
rater_21,358,0.0260707635009312,0.0,0.3516490235310838,-0.6666666666666665,1.0
rater_22,241,0.04495159059474423,0.16666666666666652,0.3952069429290909,-0.833333333333333,0.666666666666667
rater_23,774,-0.019164513350559787,0.0,0.32870690621761517,-0.833333333333333,0.5
rater_24,260,0.031410256410256514,0.0,0.4139571340857758,-1.333333333333333,1.3333333333333335
rater_25,27,-0.03086419753086407,0.0,0.473748998233244,-1.0,0.666666666666667
rater_26,199,0.00418760469011739,0.0,0.3188948658194879,-0.6666666666666665,0.666666666666667
rater_27,587,-0.10533787620670063,-0.16666666666666652,0.39422006060011033,-1.5,1.166666666666667
rater_3,325,0.017948717948718055,0.0,0.33935289641984273,-0.8333333333333333,0.666666666666667
rater_4,607,0.10269082921471731,0.16666666666666652,0.38819451874076105,-0.8333333333333335,1.0
rater_5,225,-0.028888888888888797,0.0,0.2917176826131839,-0.8333333333333335,0.666666666666667
rater_6,1336,-0.01122754491017953,0.0,0.3243463007336364,-0.833333333333333,0.8333333333333335
rater_7,1211,0.10115606936416195,0.16666666666666652,0.41524279393856706,-1.1666666666666665,1.5
rater_8,359,-0.09052924791086339,-0.16666666666666652,0.3754865227909834,-1.0,1.0
rater_9,745,-0.11029082774049204,-0.16666666666666652,0.3849370250761523,-1.333333333333333,1.0
