source_row_id,Filename,text_id_kaggle,rater_id,Overall,Cohesion,Syntax,Vocabulary,Phraseology,Grammar,Conventions,trait_mean,overall_minus_trait_mean,absolute_overall_minus_trait_mean,rounded_trait_mean_half_up,rounded_trait_mean_matches_overall,same_trait_mean_has_different_overall
0,2021000501,5AA45740A848,rater_1,3,3,2,3,3,3,2,2.6666666666666665,0.3333333333333335,0.3333333333333335,3,True,True
0,2021000501,5AA45740A848,rater_2,3,4,3,4,3,4,3,3.5,-0.5,0.5,4,False,True
1,2021000535,790891A35047,rater_1,3,2,3,2,2,3,3,2.5,0.5,0.5,3,True,True
1,2021000535,790891A35047,rater_2,3,3,3,4,3,3,4,3.3333333333333335,-0.3333333333333335,0.3333333333333335,3,True,True
2,2021000667,C254D74362A3,rater_1,3,2,3,3,3,3,3,2.8333333333333335,0.16666666666666652,0.16666666666666652,3,True,True
2,2021000667,C254D74362A3,rater_2,3,3,3,3,3,4,3,3.1666666666666665,-0.16666666666666652,0.16666666666666652,3,True,True
3,2021000683,0985602832CD,rater_1,3,2,3,3,3,3,3,2.8333333333333335,0.16666666666666652,0.16666666666666652,3,True,True
3,2021000683,0985602832CD,rater_2,3,2,2,3,3,3,2,2.5,0.5,0.5,3,True,True
4,2021000705,3AB3FC197550,rater_1,3,2,3,3,3,3,2,2.6666666666666665,0.3333333333333335,0.3333333333333335,3,True,True
4,2021000705,3AB3FC197550,rater_2,3,2,3,3,3,3,2,2.6666666666666665,0.3333333333333335,0.3333333333333335,3,True,True
5,2021000748,33ADAAB38BFC,rater_1,3,4,4,3,3,4,3,3.5,-0.5,0.5,4,False,True
5,2021000748,33ADAAB38BFC,rater_2,3,3,3,4,3,4,3,3.3333333333333335,-0.3333333333333335,0.3333333333333335,3,True,True
6,2021000756,52B24BAEDC8C,rater_1,3,3,2,3,3,2,3,2.6666666666666665,0.3333333333333335,0.3333333333333335,3,True,True
6,2021000756,52B24BAEDC8C,rater_2,2,2,2,3,2,3,3,2.5,-0.5,0.5,3,False,True
7,2021001001,FDCBCA9B0636,rater_1,3,2,3,3,3,4,3,3.0,0.0,0.0,3,True,True
7,2021001001,FDCBCA9B0636,rater_2,4,3,4,4,3,4,4,3.6666666666666665,0.3333333333333335,0.3333333333333335,4,True,True
8,2021001035,CEC71375C061,rater_1,2,2,2,2,2,3,2,2.1666666666666665,-0.16666666666666652,0.16666666666666652,2,True,True
8,2021001035,CEC71375C061,rater_2,2,2,2,3,3,3,2,2.5,-0.5,0.5,3,False,True
9,2021001060,6A86B01B87F0,rater_1,2,2,2,2,2,3,2,2.1666666666666665,-0.16666666666666652,0.16666666666666652,2,True,True
9,2021001060,6A86B01B87F0,rater_2,2,1,2,2,2,2,2,1.8333333333333333,0.16666666666666674,0.16666666666666674,2,True,True
10,2021001116,280F4A13DE2B,rater_1,4,3,4,3,4,4,3,3.5,0.5,0.5,4,True,True
10,2021001116,280F4A13DE2B,rater_2,4,3,4,3,4,4,3,3.5,0.5,0.5,4,True,True
11,2021002627,FF197A6B15B2,rater_1,3,3,3,3,3,3,3,3.0,0.0,0.0,3,True,True
11,2021002627,FF197A6B15B2,rater_2,3,3,2,3,2,3,2,2.5,0.5,0.5,3,True,True
12,2021002805,4639878D6C17,rater_1,3,3,2,3,3,2,2,2.5,0.5,0.5,3,True,True
12,2021002805,4639878D6C17,rater_2,3,2,3,3,3,3,2,2.6666666666666665,0.3333333333333335,0.3333333333333335,3,True,True
13,2021003071,DACF12F21A7C,rater_1,3,3,2,3,3,2,3,2.6666666666666665,0.3333333333333335,0.3333333333333335,3,True,True
13,2021003071,DACF12F21A7C,rater_2,2,2,3,2,3,2,3,2.5,-0.5,0.5,3,False,True
14,2021003119,C4F7250F4A45,rater_1,3,2,3,2,3,3,3,2.6666666666666665,0.3333333333333335,0.3333333333333335,3,True,True
14,2021003119,C4F7250F4A45,rater_2,3,2,2,3,3,2,3,2.5,0.5,0.5,3,True,True
15,2021003518,50165AB9C6F2,rater_1,3,3,3,3,3,3,3,3.0,0.0,0.0,3,True,True
15,2021003518,50165AB9C6F2,rater_2,4,4,3,3,4,4,3,3.5,0.5,0.5,4,True,True
16,2021004263,800ED2F704E9,rater_1,2,2,2,2,2,3,2,2.1666666666666665,-0.16666666666666652,0.16666666666666652,2,True,True
16,2021004263,800ED2F704E9,rater_2,3,3,2,3,3,3,3,2.8333333333333335,0.16666666666666652,0.16666666666666652,3,True,True
17,2021004361,39B6454376C8,rater_1,3,3,3,3,3,3,3,3.0,0.0,0.0,3,True,True
17,2021004361,39B6454376C8,rater_2,3,3,2,4,3,3,4,3.1666666666666665,-0.16666666666666652,0.16666666666666652,3,True,True
18,2021004417,DAB02ED744A4,rater_1,2,2,2,3,2,2,2,2.1666666666666665,-0.16666666666666652,0.16666666666666652,2,True,True
18,2021004417,DAB02ED744A4,rater_2,2,2,3,3,3,2,2,2.5,-0.5,0.5,3,False,True
19,2021005081,29765A8DA7DC,rater_1,3,3,4,3,3,3,3,3.1666666666666665,-0.16666666666666652,0.16666666666666652,3,True,True
19,2021005081,29765A8DA7DC,rater_2,3,4,3,3,3,4,3,3.3333333333333335,-0.3333333333333335,0.3333333333333335,3,True,True
20,2021005308,22B6586B8AC2,rater_1,3,3,3,3,3,3,3,3.0,0.0,0.0,3,True,True
20,2021005308,22B6586B8AC2,rater_2,3,3,3,3,4,4,3,3.3333333333333335,-0.3333333333333335,0.3333333333333335,3,True,True
21,2021005332,4FE8CD4987B6,rater_1,3,2,3,3,3,3,3,2.8333333333333335,0.16666666666666652,0.16666666666666652,3,True,True
21,2021005332,4FE8CD4987B6,rater_2,3,3,3,3,3,3,2,2.8333333333333335,0.16666666666666652,0.16666666666666652,3,True,True
22,2021005685,9B6A95DD8E05,rater_1,3,3,3,3,3,3,3,3.0,0.0,0.0,3,True,True
22,2021005685,9B6A95DD8E05,rater_2,3,3,3,3,2,2,3,2.6666666666666665,0.3333333333333335,0.3333333333333335,3,True,True
23,2021005723,871097AE113C,rater_1,3,2,3,3,3,3,2,2.6666666666666665,0.3333333333333335,0.3333333333333335,3,True,True
23,2021005723,871097AE113C,rater_2,3,3,2,3,4,3,3,3.0,0.0,0.0,3,True,True
24,2021005740,F495D071AE60,rater_1,3,2,3,3,2,3,3,2.6666666666666665,0.3333333333333335,0.3333333333333335,3,True,True
24,2021005740,F495D071AE60,rater_2,3,3,2,3,3,3,2,2.6666666666666665,0.3333333333333335,0.3333333333333335,3,True,True
25,2021005839,AE0341CCEBDB,rater_1,3,2,3,3,3,3,3,2.8333333333333335,0.16666666666666652,0.16666666666666652,3,True,True
25,2021005839,AE0341CCEBDB,rater_2,3,3,3,3,2,2,3,2.6666666666666665,0.3333333333333335,0.3333333333333335,3,True,True
26,2021006223,B3AB4E6C5678,rater_1,3,3,3,3,3,2,3,2.8333333333333335,0.16666666666666652,0.16666666666666652,3,True,True
26,2021006223,B3AB4E6C5678,rater_2,3,3,3,3,2,3,2,2.6666666666666665,0.3333333333333335,0.3333333333333335,3,True,True
27,2021006355,5674A7E93E14,rater_1,3,2,3,3,3,3,3,2.8333333333333335,0.16666666666666652,0.16666666666666652,3,True,True
27,2021006355,5674A7E93E14,rater_2,3,3,4,3,3,4,3,3.3333333333333335,-0.3333333333333335,0.3333333333333335,3,True,True
28,2081000230,839908CBDB40,rater_1,3,3,4,3,3,3,3,3.1666666666666665,-0.16666666666666652,0.16666666666666652,3,True,True
28,2081000230,839908CBDB40,rater_2,3,3,3,4,3,4,3,3.3333333333333335,-0.3333333333333335,0.3333333333333335,3,True,True
29,2081000248,80F8E7B1ABBA,rater_1,3,3,4,3,3,3,3,3.1666666666666665,-0.16666666666666652,0.16666666666666652,3,True,True
29,2081000248,80F8E7B1ABBA,rater_2,4,4,3,4,3,4,4,3.6666666666666665,0.3333333333333335,0.3333333333333335,4,True,True
30,2081000434,27B8304D6E89,rater_1,2,2,2,3,2,2,3,2.3333333333333335,-0.3333333333333335,0.3333333333333335,2,True,True
30,2081000434,27B8304D6E89,rater_2,3,3,3,3,2,3,2,2.6666666666666665,0.3333333333333335,0.3333333333333335,3,True,True
31,2081000531,C5813A0D6AF5,rater_1,3,2,3,2,3,3,2,2.5,0.5,0.5,3,True,True
31,2081000531,C5813A0D6AF5,rater_2,2,2,3,3,3,2,2,2.5,-0.5,0.5,3,False,True
32,2081000841,E362F08345FE,rater_1,2,2,3,3,3,3,2,2.6666666666666665,-0.6666666666666665,0.6666666666666665,3,False,True
32,2081000841,E362F08345FE,rater_2,2,3,2,2,2,3,2,2.3333333333333335,-0.3333333333333335,0.3333333333333335,2,True,True
33,2081000906,93575D076743,rater_1,3,3,3,3,3,3,3,3.0,0.0,0.0,3,True,True
33,2081000906,93575D076743,rater_2,3,3,3,2,2,4,3,2.8333333333333335,0.16666666666666652,0.16666666666666652,3,True,True
34,2081001007,C3E8D00403D9,rater_1,3,3,3,3,3,3,3,3.0,0.0,0.0,3,True,True
34,2081001007,C3E8D00403D9,rater_2,4,4,4,4,4,5,4,4.166666666666667,-0.16666666666666696,0.16666666666666696,4,True,True
35,2081001091,9A24CB0724FE,rater_1,2,2,2,2,2,3,2,2.1666666666666665,-0.16666666666666652,0.16666666666666652,2,True,True
35,2081001091,9A24CB0724FE,rater_2,3,3,3,3,2,3,3,2.8333333333333335,0.16666666666666652,0.16666666666666652,3,True,True
