rater_id,sample_count,mean_character_count,mean_word_count,median_word_count,std_word_count,mean_estimated_sentence_count
rater_1,857,2315.6756126021005,423.87631271878644,393.0,216.7057603127871,18.430571761960326
rater_10,781,2424.3661971830984,447.3008962868118,419.0,195.37660637780684,18.833546734955185
rater_11,1367,2444.622531089978,449.6613021214338,421.0,198.01105863878422,19.07534747622531
rater_12,1220,2429.018852459016,445.50573770491803,409.0,200.77873201298377,18.90327868852459
rater_13,889,2321.209223847019,422.24521934758155,395.0,177.00409263280835,17.95050618672666
rater_14,31,2601.032258064516,476.96774193548384,430.0,237.1177603176627,17.903225806451612
rater_15,988,2394.3684210526317,435.5425101214575,405.5,194.01787907506116,17.975708502024293
rater_16,447,2347.248322147651,427.8680089485459,401.0,174.16649173774246,18.062639821029084
rater_17,119,2576.840336134454,464.5378151260504,436.0,193.4715758878854,20.07563025210084
rater_18,1060,2345.65,429.33962264150944,395.5,191.44446635430754,18.184905660377357
rater_19,1041,2376.133525456292,433.97214217098946,404.0,188.87420058407156,18.743515850144092
rater_2,1602,2388.9007490636704,439.41198501872657,407.0,205.04343332623668,19.22034956304619
rater_20,75,2538.6,461.9066666666667,412.0,189.33911899547323,20.506666666666668
rater_21,358,2584.396648044693,476.840782122905,425.5,224.71971913851863,20.52513966480447
rater_22,241,2282.1203319502074,420.0,386.0,183.5029972507261,17.431535269709542
rater_23,774,2365.114987080103,435.6447028423773,401.5,186.00924072971648,19.140826873385013
rater_24,260,2486.8076923076924,450.3,407.0,193.74387622655217,19.21153846153846
rater_25,27,2511.740740740741,466.5925925925926,386.0,228.77739588101107,19.48148148148148
rater_26,199,2273.497487437186,413.9748743718593,386.0,173.6863955869287,17.738693467336685
rater_27,587,2406.664395229983,446.8143100511073,412.0,190.92735230004757,19.574105621805792
rater_3,325,2003.2,369.7169230769231,343.0,209.21499336159795,16.60923076923077
rater_4,607,2207.64744645799,406.004942339374,388.0,208.96095686439807,18.337726523887973
rater_5,225,1692.5155555555555,311.1822222222222,272.0,194.65782167609532,14.142222222222221
rater_6,1336,2251.8450598802397,414.250748502994,387.0,194.6494650176286,18.026946107784433
rater_7,1211,2394.391412056152,443.42361684558216,416.0,207.85556747267313,19.303881090008257
rater_8,359,2226.197771587744,406.97771587743733,380.0,173.3853349114797,18.025069637883007
rater_9,745,2492.213422818792,458.8751677852349,425.0,204.69084146284817,19.511409395973153
