rater_id,word_count,profile_sha256,duplicate,hallucination_warning
rater_5,159,0a6a3d7588c22cb4a2e577d6cf846b11541f8a23e1b70a7f6b78f7d8f383bdcd,False,
rater_13,127,8e75b8298faf200d3bfcfd407ff0d639fae7a1207d5a3d10ece72f8f16444a5f,False,
rater_3,150,18f6c667b2bb94d9e2ef02a7b7ede94ef4ca9cd75f8585a2461675af6d5d5540,False,
rater_27,161,840730634ffe1c439a5f130a37b780a4360f706990955206047d5fbfd52f9bee,False,likely reflects
rater_12,158,34043059069df97c0c8f3812601d717e0a0cfed989691b634d0c7528c4c9294d,False,
rater_4,146,587256b66bf84f1eb3045302835b1011652d84fa673bae0c4585481932defebd,False,
rater_24,150,abe825e13077bfca19f5c48e2bd4bb8b20239070373b65463ba3b93091183e9a,False,
rater_6,148,9f0725174eaa547fcc7e082a34e556db9e4e6e605177a324546639070f01b2be,False,
rater_7,163,48f7df4466378d360b3c4554409201c54f69d3d98a5bdcaff421259378236176,False,
rater_22,157,76e7e8418b988e5d3021c6741327bdf928b37cc78d509b9eeb262628ecd36e2e,False,
rater_2,120,d466173d65c196eb82d7c69a62d1e1b43924fdf5e97105ef2436425f60f1e64c,False,
rater_11,126,1cf533ce5444d8b4ca3f8e6dc2c126ffd56c8ddd8aba191c68b6f373b65b534d,False,
rater_19,132,083df88c16a4847dce4cb9688920ea72f82cedd0f202932a8fdb96809eeeb4bf,False,
rater_9,153,fe733e76828d30228aece04cd1bc5105fbe8eb8b7016bc3b11b366d2523418bd,False,
rater_15,144,65e8a4cf9a8b5105383c65c364a0fc12d14030b5d340ac29533a5d0d7a00f5eb,False,
rater_18,154,71103349e47dd7d129f2599ea4e692226a4f0d8235b842249f73981fd030393a,False,
rater_23,184,56e52a342e0fb51363f30c1d75ceb039be45095c609221ec4bc17bc4e515688f,False,
rater_1,156,6ec67ef2f0832c349a18081903425f69395a6b7753eedd15b8d729f1efed1aa1,False,
rater_8,171,31a9b6afc43713512bc447553d51bcaf8b8ef6c647e1884ca3e0bbedc9b42579,False,
rater_10,168,af0b7ab73900ad06525fd577035fbed30871a7c65a58f5a645c4ba3c8a0863e2,False,
rater_21,146,b3fb1f5ae950f7dd805de0785e494df9595361b29a94268e4a5271f76d36b9ea,False,
